EmployeeID,Age,Gender,Department,JobRole,EducationField,MonthlyIncome,YearsAtCompany,TotalWorkingYears,JobSatisfaction,WorkLifeBalance,Attrition
727,46,Female,IT,Developer,Finance,64571,1,22,1,3,No
728,43,Male,Marketing,Marketing Manager,Medical,163357,0,8,2,4,No
729,43,Female,Operations,Operations Manager,Human Resources,76719,20,23,3,1,Yes
730,54,Male,Marketing,Marketing Executive,Life Sciences,81029,17,26,1,3,No
731,36,Female,Sales,Sales Manager,Finance,157454,9,15,1,1,No
732,28,Male,Operations,Operations Manager,Finance,142633,0,1,3,1,No
733,43,Male,Operations,Operations Executive,Life Sciences,175147,9,13,2,4,No
734,44,Male,Finance,Analyst,Human Resources,63418,14,15,4,4,Yes
735,34,Female,HR,HR Manager,Finance,121808,7,8,4,4,No
736,52,Male,IT,IT Manager,Finance,62839,13,18,2,4,No
737,34,Male,Operations,Operations Executive,Medical,33547,7,14,2,3,No
738,28,Female,IT,Developer,Technical Degree,35559,5,7,2,1,No
739,22,Female,Finance,Finance Manager,Technical Degree,179566,0,0,4,1,No
740,52,Female,HR,HR Executive,Human Resources,168533,0,7,3,1,No
741,57,Female,Operations,Operations Manager,Human Resources,123908,14,24,4,2,No
742,30,Female,Marketing,Marketing Manager,Medical,132381,5,5,4,2,No
743,38,Male,Sales,Sales Manager,Marketing,31502,2,7,3,1,No
744,57,Male,Operations,Operations Executive,Life Sciences,149737,16,22,1,1,No
745,36,Female,Finance,Analyst,Life Sciences,164865,14,14,3,4,No
746,32,Male,Finance,Finance Manager,Life Sciences,163386,6,6,3,4,No
747,39,Female,Operations,Operations Executive,Finance,91992,4,9,1,2,No
748,60,Female,HR,HR Executive,Marketing,32122,10,15,1,3,No
749,37,Male,IT,BI Analyst,Human Resources,38599,12,12,2,2,No
750,28,Male,Operations,Operations Manager,Human Resources,108449,4,4,4,4,Yes
751,22,Female,Marketing,Marketing Executive,Life Sciences,89570,1,1,2,3,No
752,30,Female,Marketing,Marketing Executive,Life Sciences,69089,5,9,2,4,No
753,60,Female,Sales,Sales Manager,Technical Degree,68878,9,29,1,1,No
754,45,Male,Operations,Operations Manager,Technical Degree,80772,11,24,3,1,No
755,28,Female,Sales,Sales Manager,Finance,170877,2,7,3,4,No
756,49,Female,Finance,Finance Manager,Life Sciences,109315,8,15,3,2,No
757,21,Female,Marketing,Marketing Executive,Human Resources,27510,1,1,2,4,No
758,25,Female,Operations,Operations Executive,Medical,141700,4,4,1,3,No
759,32,Female,Finance,Finance Manager,Life Sciences,57706,12,12,4,3,No
760,38,Female,HR,HR Executive,Technical Degree,48584,11,14,3,2,No
761,52,Female,Sales,Sales Manager,Medical,26870,19,22,2,4,Yes
762,31,Male,Operations,Operations Manager,Marketing,173296,8,9,2,1,No
763,54,Female,Finance,Analyst,Finance,31060,8,14,3,4,Yes
764,41,Male,Marketing,Marketing Executive,Finance,96836,13,19,1,4,No
765,38,Female,HR,HR Executive,Life Sciences,142666,13,17,3,1,No
766,35,Male,Operations,Operations Executive,Finance,90531,13,13,2,2,No
767,22,Female,Marketing,Marketing Executive,Marketing,31297,1,2,3,3,No
768,42,Female,Finance,Analyst,Medical,87060,16,22,1,4,No
769,24,Female,Sales,Sales Executive,Life Sciences,107124,0,3,1,2,Yes
770,25,Female,Finance,Finance Manager,Life Sciences,39625,0,5,1,3,No
771,35,Male,Operations,Operations Manager,Technical Degree,125642,0,14,4,4,No
772,50,Male,Marketing,Marketing Executive,Medical,179091,16,21,2,1,Yes
773,53,Male,HR,HR Executive,Life Sciences,135364,8,19,4,4,No
774,40,Male,Sales,Sales Executive,Marketing,159512,18,19,3,3,No
775,59,Male,IT,BI Analyst,Human Resources,121686,10,19,1,2,Yes
776,33,Female,Finance,Analyst,Medical,42931,10,11,3,2,No
777,58,Female,Marketing,Marketing Manager,Life Sciences,103546,18,28,4,3,No
778,21,Female,IT,Data Analyst,Finance,147299,0,0,2,2,No
779,46,Male,IT,Data Analyst,Marketing,120110,5,5,1,1,No
780,33,Male,Finance,Finance Manager,Marketing,36509,10,12,1,2,Yes
781,42,Female,Finance,Analyst,Life Sciences,71803,17,18,2,1,Yes
782,45,Female,Sales,Sales Executive,Technical Degree,113705,20,20,2,3,No
783,54,Male,Marketing,Marketing Executive,Marketing,42138,19,32,1,2,No
784,44,Male,HR,HR Manager,Medical,137601,10,19,2,1,No
785,41,Male,Finance,Analyst,Human Resources,98419,7,7,2,4,Yes
786,31,Male,Marketing,Marketing Executive,Technical Degree,158472,8,11,3,4,No
787,54,Male,Marketing,Marketing Manager,Marketing,149192,15,30,3,4,No
788,49,Male,HR,HR Executive,Technical Degree,82303,7,19,3,4,No
789,29,Female,Finance,Analyst,Medical,141524,1,5,3,2,No
790,48,Female,Operations,Operations Manager,Technical Degree,138378,14,21,4,3,No
791,32,Female,IT,Developer,Medical,94631,7,8,1,3,No
792,38,Male,Operations,Operations Executive,Technical Degree,56087,7,8,1,3,Yes
793,37,Female,HR,HR Manager,Technical Degree,74975,9,13,2,3,Yes
794,46,Male,Finance,Finance Manager,Human Resources,148733,18,18,2,4,No
795,50,Female,HR,HR Manager,Marketing,107070,10,12,2,4,No
796,56,Male,IT,IT Manager,Human Resources,61424,0,23,2,3,No
797,42,Male,Marketing,Marketing Manager,Medical,136599,7,20,4,3,No
798,30,Female,Sales,Sales Executive,Life Sciences,175438,5,9,4,4,No
799,33,Male,Operations,Operations Manager,Finance,111203,7,7,4,3,Yes
800,23,Female,Operations,Operations Executive,Technical Degree,73940,3,3,2,1,No
801,39,Male,HR,HR Executive,Technical Degree,144187,16,16,1,3,No
802,31,Female,IT,IT Manager,Marketing,165627,1,3,4,4,No
803,40,Female,HR,HR Executive,Technical Degree,66623,13,20,3,2,No
804,30,Female,HR,HR Executive,Human Resources,129657,7,7,2,3,No
805,26,Male,IT,Developer,Human Resources,115906,2,5,3,4,No
806,60,Male,HR,HR Executive,Marketing,125837,13,27,2,1,No
807,55,Male,HR,HR Manager,Technical Degree,42496,9,30,2,4,No
808,53,Male,Sales,Sales Executive,Human Resources,143210,10,23,2,3,Yes
809,50,Female,Sales,Sales Executive,Life Sciences,129685,12,22,2,4,Yes
810,41,Male,Marketing,Marketing Executive,Finance,145941,14,21,1,1,No
811,51,Male,IT,Data Analyst,Medical,69718,8,13,1,1,Yes
812,31,Male,Marketing,Marketing Manager,Marketing,27938,1,11,3,2,No
813,55,Female,Marketing,Marketing Executive,Life Sciences,37518,6,20,1,4,No
814,24,Male,Operations,Operations Executive,Human Resources,90457,3,3,3,2,No
815,42,Male,Sales,Sales Executive,Human Resources,82820,6,8,1,2,No
816,41,Male,Operations,Operations Executive,Marketing,74688,10,18,2,4,No
817,43,Male,HR,HR Executive,Human Resources,28930,10,12,4,3,Yes
818,38,Female,HR,HR Executive,Life Sciences,42650,11,11,2,4,No
819,37,Female,Marketing,Marketing Executive,Finance,110027,3,12,4,2,No
820,42,Male,IT,Developer,Medical,178363,0,19,4,4,No
821,35,Male,Operations,Operations Executive,Life Sciences,105962,0,3,2,4,No
822,52,Male,HR,HR Manager,Finance,64759,9,15,4,2,No
823,42,Female,Operations,Operations Manager,Life Sciences,108240,4,12,1,4,No
824,42,Male,HR,HR Manager,Medical,166377,7,13,1,2,No
825,32,Male,IT,BI Analyst,Life Sciences,26584,7,12,1,4,Yes
826,34,Female,Marketing,Marketing Executive,Finance,70528,2,3,2,2,No
827,31,Female,IT,BI Analyst,Technical Degree,89205,11,11,4,2,No
828,33,Female,Operations,Operations Manager,Human Resources,45975,4,11,3,4,No
829,30,Female,IT,IT Manager,Medical,124986,7,7,4,1,No
830,56,Female,Operations,Operations Executive,Medical,124732,5,13,4,3,No
831,25,Male,Operations,Operations Manager,Life Sciences,148013,2,3,2,2,No
832,52,Male,Operations,Operations Manager,Human Resources,128455,12,25,3,4,No
833,45,Female,Sales,Sales Executive,Medical,75915,18,20,4,3,No
834,44,Male,Marketing,Marketing Manager,Technical Degree,126012,1,21,4,2,No
835,30,Male,Marketing,Marketing Executive,Life Sciences,144398,4,8,2,3,No
836,45,Male,Sales,Sales Executive,Human Resources,178658,12,23,1,2,No
837,53,Male,Finance,Finance Manager,Life Sciences,178637,17,29,3,4,No
838,30,Male,Marketing,Marketing Manager,Human Resources,79925,4,9,4,3,Yes
839,25,Male,Sales,Sales Executive,Marketing,162615,5,5,4,3,No
840,29,Male,Finance,Analyst,Marketing,72706,3,6,1,4,No
841,32,Male,HR,HR Executive,Finance,92987,12,12,4,4,No
842,39,Male,HR,HR Executive,Human Resources,57684,2,14,3,1,No
843,21,Male,IT,Developer,Human Resources,26894,0,1,1,1,Yes
844,52,Female,Operations,Operations Manager,Technical Degree,137578,15,25,3,3,No
845,46,Male,HR,HR Manager,Human Resources,40005,12,21,3,3,No
846,29,Female,Marketing,Marketing Manager,Medical,57216,0,9,3,2,No
847,21,Male,IT,Data Analyst,Medical,119425,1,1,1,3,No
848,60,Female,IT,IT Manager,Medical,137175,2,24,4,1,No
849,54,Female,HR,HR Executive,Finance,33321,18,34,2,4,No
850,31,Male,Operations,Operations Manager,Life Sciences,151397,7,7,2,2,Yes
851,31,Male,IT,Developer,Finance,98494,5,8,2,3,No
852,26,Female,HR,HR Manager,Finance,83669,6,6,1,3,No
853,35,Female,Marketing,Marketing Manager,Finance,55327,7,11,3,1,Yes
854,28,Male,Operations,Operations Executive,Human Resources,107148,5,6,4,1,No
855,44,Female,IT,BI Analyst,Technical Degree,179868,4,20,2,1,No
856,35,Male,HR,HR Manager,Medical,63646,15,15,3,2,No
857,53,Female,Finance,Finance Manager,Life Sciences,175463,3,11,4,2,No
858,34,Female,Finance,Analyst,Finance,38779,13,13,2,4,No
859,56,Female,HR,HR Executive,Life Sciences,135739,12,22,4,3,No
860,39,Male,Operations,Operations Manager,Finance,168657,6,17,4,1,No
861,31,Male,Finance,Finance Manager,Marketing,140837,9,9,4,3,No
862,21,Male,Marketing,Marketing Executive,Life Sciences,63693,1,1,4,4,No
863,51,Female,Sales,Sales Manager,Marketing,55761,5,6,3,4,No
864,36,Male,Sales,Sales Executive,Human Resources,104348,12,15,2,4,No
865,38,Female,Marketing,Marketing Manager,Finance,28041,14,16,1,1,Yes
866,22,Female,Marketing,Marketing Executive,Technical Degree,96755,2,2,1,2,No
867,27,Male,Operations,Operations Executive,Human Resources,165905,5,5,2,4,No
868,25,Male,Operations,Operations Manager,Life Sciences,79385,4,4,1,2,No
869,41,Female,Operations,Operations Manager,Life Sciences,58768,3,4,2,2,Yes
870,53,Male,Sales,Sales Executive,Marketing,167718,9,20,2,4,No
871,54,Female,Finance,Analyst,Medical,165011,9,30,4,2,No
872,27,Male,Finance,Analyst,Marketing,34629,0,3,2,2,Yes
873,58,Female,Operations,Operations Executive,Human Resources,58683,11,19,4,1,No
874,46,Male,Marketing,Marketing Executive,Finance,91631,14,15,4,2,No
875,33,Female,Marketing,Marketing Manager,Human Resources,172755,11,12,2,4,No
876,59,Female,IT,Developer,Life Sciences,95811,7,9,1,1,No
877,44,Male,Finance,Analyst,Human Resources,96631,10,22,2,2,No
878,27,Female,HR,HR Manager,Finance,163012,1,2,3,4,Yes
879,56,Female,Operations,Operations Manager,Marketing,50969,8,27,1,2,No
880,51,Male,Finance,Finance Manager,Human Resources,92911,18,20,1,2,No
881,24,Female,Operations,Operations Manager,Human Resources,90303,2,4,4,4,No
882,38,Female,Operations,Operations Manager,Technical Degree,84969,13,17,3,1,No
883,25,Female,Sales,Sales Executive,Medical,49545,5,5,2,1,Yes
884,48,Male,IT,Developer,Human Resources,60763,16,27,4,4,No
885,21,Male,Sales,Sales Executive,Marketing,89022,1,1,1,4,No
886,29,Female,Sales,Sales Manager,Life Sciences,38344,8,9,4,4,No
887,55,Male,Finance,Analyst,Finance,103427,3,21,4,3,No
888,34,Female,Marketing,Marketing Manager,Life Sciences,160142,14,14,1,4,No
889,60,Male,Finance,Analyst,Human Resources,103210,14,24,3,1,Yes
890,27,Female,Finance,Analyst,Life Sciences,76785,6,7,1,2,No
891,35,Male,HR,HR Manager,Medical,123122,15,15,3,3,No
892,49,Male,Finance,Analyst,Life Sciences,61667,14,19,3,4,Yes
893,23,Male,HR,HR Manager,Human Resources,135377,1,2,3,1,Yes
894,28,Female,Marketing,Marketing Manager,Medical,169211,6,7,4,2,No
895,29,Male,Marketing,Marketing Manager,Finance,30544,1,2,2,2,No
896,42,Female,HR,HR Executive,Life Sciences,27104,13,22,4,4,No
897,60,Male,IT,Data Analyst,Finance,90396,4,15,3,1,No
898,51,Male,IT,Data Analyst,Marketing,156683,3,25,2,2,No
899,46,Male,Sales,Sales Executive,Life Sciences,75378,1,9,2,4,Yes
900,47,Male,Sales,Sales Manager,Medical,85667,16,20,2,3,No
901,40,Male,IT,Developer,Technical Degree,120309,3,11,3,3,No
902,23,Male,Sales,Sales Executive,Human Resources,109315,0,0,2,3,No
903,52,Male,HR,HR Manager,Technical Degree,104785,11,21,1,1,No
904,58,Female,Finance,Finance Manager,Life Sciences,122410,16,35,2,3,Yes
905,59,Male,Sales,Sales Executive,Life Sciences,178763,3,5,2,2,No
906,40,Female,Operations,Operations Manager,Medical,164868,15,16,2,1,Yes
907,56,Female,Marketing,Marketing Manager,Medical,142566,11,22,1,4,Yes
908,31,Male,Operations,Operations Executive,Finance,58799,9,10,3,1,No
909,52,Female,HR,HR Manager,Human Resources,68389,17,19,4,4,No
910,34,Female,Operations,Operations Manager,Medical,66943,2,2,2,1,No
911,40,Male,Marketing,Marketing Manager,Technical Degree,95389,7,11,1,2,No
912,38,Male,Sales,Sales Executive,Finance,38505,4,8,2,2,No
913,41,Female,Finance,Finance Manager,Technical Degree,94216,2,19,2,4,No
914,43,Male,Sales,Sales Executive,Finance,71330,7,15,3,1,No
915,37,Female,Marketing,Marketing Manager,Marketing,140916,17,17,2,3,No
916,48,Male,IT,Data Analyst,Marketing,150568,11,15,1,4,Yes
917,32,Female,HR,HR Manager,Finance,30517,10,11,3,2,No
918,25,Female,Operations,Operations Executive,Life Sciences,136776,1,1,2,4,No
919,21,Male,Marketing,Marketing Executive,Marketing,125660,0,1,1,1,No
920,38,Female,HR,HR Executive,Finance,28538,4,14,1,1,No
921,29,Male,Sales,Sales Executive,Marketing,141477,7,9,2,3,No
922,55,Female,Sales,Sales Manager,Marketing,36672,3,4,1,3,Yes
923,22,Male,Sales,Sales Executive,Finance,126025,0,1,2,3,No
924,52,Female,IT,Developer,Life Sciences,83857,5,8,1,3,No
925,23,Male,Finance,Analyst,Finance,137362,1,1,3,2,No
926,60,Female,Marketing,Marketing Manager,Finance,52242,9,20,3,4,No
927,30,Female,Sales,Sales Executive,Life Sciences,108953,10,10,2,4,No
928,38,Female,Sales,Sales Manager,Technical Degree,109686,4,5,2,2,No
929,51,Female,IT,IT Manager,Medical,61233,13,23,2,4,No
930,55,Male,Operations,Operations Manager,Finance,125827,17,24,1,4,No
931,44,Male,Sales,Sales Executive,Life Sciences,29496,0,6,3,4,No
932,29,Male,Finance,Finance Manager,Life Sciences,62785,4,7,4,2,No
933,28,Male,Marketing,Marketing Executive,Finance,31906,2,5,4,3,Yes
934,51,Male,Operations,Operations Executive,Life Sciences,32913,19,21,2,3,Yes
935,30,Female,Sales,Sales Manager,Human Resources,61729,2,9,3,4,No
936,39,Male,Marketing,Marketing Executive,Human Resources,40728,3,7,1,2,No
937,56,Male,IT,IT Manager,Technical Degree,156562,8,26,3,2,No
938,29,Male,Sales,Sales Manager,Finance,39679,3,6,2,4,Yes
939,41,Female,IT,IT Manager,Marketing,124737,20,21,2,1,No
940,27,Male,Finance,Analyst,Life Sciences,112941,1,3,1,2,Yes
941,40,Male,HR,HR Executive,Medical,77881,6,14,1,2,No
942,24,Female,IT,Developer,Medical,105898,2,2,1,3,No
943,46,Male,HR,HR Manager,Medical,50527,11,15,3,4,No
944,58,Female,HR,HR Executive,Life Sciences,178710,12,27,1,3,Yes
945,35,Female,Marketing,Marketing Executive,Technical Degree,67217,6,8,3,4,No
946,23,Female,Finance,Finance Manager,Life Sciences,79741,3,3,1,2,No
947,40,Female,Sales,Sales Executive,Marketing,155786,17,17,1,4,No
948,57,Female,Sales,Sales Manager,Technical Degree,48390,11,22,1,2,No
949,49,Female,IT,BI Analyst,Human Resources,57497,20,22,4,1,No
950,49,Female,IT,Data Analyst,Technical Degree,107220,11,27,3,1,No
951,60,Female,Marketing,Marketing Executive,Human Resources,89177,20,21,1,2,No
952,25,Female,HR,HR Manager,Life Sciences,146183,1,4,1,3,No
953,27,Female,Sales,Sales Executive,Medical,77290,6,7,4,3,Yes
954,51,Male,IT,Data Analyst,Finance,144165,3,11,1,2,No
955,57,Male,HR,HR Manager,Life Sciences,41357,1,25,3,4,No
956,48,Female,HR,HR Executive,Life Sciences,71165,8,16,1,2,Yes
957,47,Female,Finance,Finance Manager,Technical Degree,93012,16,19,2,1,Yes
958,33,Female,Finance,Analyst,Technical Degree,151255,5,11,4,2,No
959,21,Female,Marketing,Marketing Manager,Life Sciences,176647,0,0,2,3,No
960,30,Male,HR,HR Manager,Human Resources,54781,7,9,4,3,No
961,58,Male,HR,HR Manager,Medical,82310,3,5,2,4,No
962,43,Male,IT,Data Analyst,Technical Degree,176214,6,12,1,3,No
963,52,Female,Finance,Analyst,Medical,133541,20,27,4,3,No
964,32,Female,Finance,Analyst,Technical Degree,122811,7,10,2,2,No
965,39,Female,Marketing,Marketing Manager,Life Sciences,47969,19,19,1,1,No
966,49,Female,IT,Developer,Medical,33555,16,25,3,4,No
967,33,Female,IT,Developer,Life Sciences,57621,13,13,3,4,No
968,53,Male,Finance,Analyst,Human Resources,94336,9,17,3,4,No
969,22,Female,Sales,Sales Executive,Marketing,161043,0,1,3,3,Yes
970,33,Female,Operations,Operations Manager,Finance,38521,9,12,4,2,No
971,41,Male,HR,HR Manager,Medical,139662,16,17,2,1,No
972,37,Female,Sales,Sales Manager,Life Sciences,109516,17,17,2,1,Yes
973,22,Male,Marketing,Marketing Executive,Human Resources,174892,2,2,4,1,No
974,32,Female,Marketing,Marketing Manager,Technical Degree,102836,3,6,2,2,No
975,38,Male,Marketing,Marketing Executive,Life Sciences,31066,2,6,1,1,No
976,37,Male,HR,HR Manager,Human Resources,45285,5,6,4,3,No
977,22,Female,Sales,Sales Manager,Technical Degree,152537,1,1,1,2,No
978,31,Female,Marketing,Marketing Manager,Technical Degree,27658,2,6,2,1,Yes
979,31,Male,IT,Developer,Marketing,56875,8,10,2,1,No
980,34,Male,Finance,Analyst,Technical Degree,61323,0,5,2,1,No
981,33,Female,Finance,Finance Manager,Human Resources,169571,1,6,3,4,No
982,33,Female,Operations,Operations Manager,Marketing,76872,4,6,3,4,Yes
983,48,Female,HR,HR Manager,Marketing,96217,14,20,3,1,No
984,44,Female,Operations,Operations Manager,Medical,142808,20,20,2,1,No
985,59,Female,IT,BI Analyst,Human Resources,129413,20,31,1,1,Yes
986,36,Male,HR,HR Manager,Life Sciences,122428,2,5,3,2,No
987,42,Female,Finance,Analyst,Technical Degree,173758,6,20,3,2,No
988,54,Female,Operations,Operations Executive,Finance,172051,6,9,3,1,No
989,41,Female,IT,BI Analyst,Human Resources,38018,6,12,4,4,Yes
990,49,Female,Sales,Sales Executive,Life Sciences,110688,5,24,4,2,No
991,50,Male,Marketing,Marketing Executive,Life Sciences,130594,9,13,1,1,No
992,47,Female,IT,Developer,Human Resources,108149,9,17,3,4,Yes
993,46,Male,Operations,Operations Executive,Life Sciences,154325,9,23,1,3,No
994,21,Male,HR,HR Executive,Finance,109635,0,0,4,2,Yes
995,24,Female,Finance,Analyst,Finance,54046,2,2,1,3,Yes
996,38,Male,Operations,Operations Manager,Medical,177948,5,7,4,1,No
997,28,Female,IT,IT Manager,Finance,176489,8,8,4,4,No
998,26,Male,IT,Data Analyst,Finance,46704,2,4,3,2,No
999,52,Male,Sales,Sales Executive,Human Resources,28441,1,14,2,4,No
1000,34,Male,Sales,Sales Manager,Marketing,106743,13,14,4,2,No
1001,45,Female,HR,HR Manager,Human Resources,159601,14,23,2,4,Yes
1002,57,Male,HR,HR Manager,Life Sciences,63611,20,23,4,1,No
1003,38,Male,IT,Data Analyst,Technical Degree,164168,0,15,4,3,No
1004,30,Female,IT,Data Analyst,Life Sciences,137944,6,10,3,1,No
1005,48,Female,Sales,Sales Manager,Medical,74663,6,15,4,2,No
1006,24,Female,IT,Developer,Marketing,82561,1,1,1,1,No
1007,38,Female,Sales,Sales Executive,Human Resources,131052,7,16,4,4,Yes
1008,34,Female,HR,HR Executive,Finance,100491,5,9,1,1,Yes
1009,31,Female,Finance,Analyst,Marketing,43207,5,10,2,2,No
1010,48,Male,Sales,Sales Manager,Medical,71534,10,10,3,1,No
1011,58,Male,Finance,Finance Manager,Medical,89883,0,31,4,1,Yes
1012,35,Female,Marketing,Marketing Manager,Human Resources,49617,5,7,1,3,No
1013,55,Female,IT,BI Analyst,Technical Degree,152531,8,29,3,3,No
1014,54,Female,Marketing,Marketing Manager,Marketing,54559,19,34,3,1,No
1015,43,Male,Marketing,Marketing Executive,Marketing,89059,15,15,4,3,No
1016,38,Female,IT,Developer,Technical Degree,163125,17,18,2,3,No
1017,38,Female,IT,IT Manager,Medical,35774,9,12,3,1,No
1018,28,Female,Finance,Finance Manager,Medical,63569,0,7,4,2,No
1019,40,Male,Operations,Operations Executive,Technical Degree,41938,15,17,3,1,No
1020,24,Male,Operations,Operations Executive,Life Sciences,26334,3,4,4,3,No
1021,43,Male,Finance,Analyst,Finance,156594,9,21,2,1,No
1022,58,Male,HR,HR Manager,Finance,82372,2,20,1,4,No
1023,48,Female,Marketing,Marketing Manager,Finance,93487,12,15,3,3,No
1024,33,Female,Finance,Analyst,Medical,134133,4,6,2,3,No
1025,55,Female,Marketing,Marketing Manager,Medical,139528,5,17,1,2,No
1026,50,Male,Marketing,Marketing Manager,Human Resources,147303,11,24,4,4,No
1027,60,Female,Sales,Sales Executive,Life Sciences,88608,9,34,3,2,No
1028,46,Female,IT,Data Analyst,Finance,160792,0,14,4,1,Yes
1029,59,Male,Sales,Sales Manager,Finance,173227,3,21,4,3,No
1030,34,Male,Operations,Operations Executive,Technical Degree,172337,8,9,4,2,No
1031,21,Male,Marketing,Marketing Manager,Medical,55070,1,1,1,1,Yes
1032,34,Male,Sales,Sales Executive,Technical Degree,31463,1,8,4,4,Yes
1033,32,Male,IT,IT Manager,Marketing,93228,3,11,4,1,No
1034,31,Male,HR,HR Executive,Medical,149822,8,9,4,3,No
1035,38,Male,IT,BI Analyst,Life Sciences,53137,12,15,4,4,No
1036,28,Female,Finance,Finance Manager,Life Sciences,177184,6,6,3,1,No
1037,50,Male,Finance,Analyst,Technical Degree,27390,14,22,2,3,No
1038,53,Male,Marketing,Marketing Manager,Technical Degree,64689,2,13,3,3,No
1039,46,Male,Marketing,Marketing Manager,Medical,151810,2,22,4,4,No
1040,29,Male,Marketing,Marketing Manager,Finance,177233,5,9,3,4,Yes
1041,27,Male,HR,HR Executive,Life Sciences,149888,1,4,3,2,No
1042,47,Male,HR,HR Manager,Human Resources,90662,2,3,1,1,No
1043,32,Male,Finance,Analyst,Marketing,142836,5,6,4,2,No
1044,49,Male,Finance,Finance Manager,Life Sciences,77741,9,16,2,4,No
1045,27,Male,Operations,Operations Executive,Technical Degree,61847,3,3,1,3,No
1046,33,Male,HR,HR Manager,Life Sciences,174519,13,13,4,3,No
1047,45,Female,IT,IT Manager,Marketing,45484,2,20,2,3,Yes
1048,22,Male,Sales,Sales Manager,Technical Degree,90898,0,1,4,3,Yes
1049,54,Female,Sales,Sales Executive,Finance,129653,19,28,1,1,No
1050,42,Female,Sales,Sales Executive,Finance,77562,13,17,3,1,No
1051,52,Female,Sales,Sales Executive,Medical,172811,2,27,1,3,No
1052,56,Male,Marketing,Marketing Executive,Finance,95912,15,19,1,1,Yes
1053,51,Male,Finance,Finance Manager,Medical,30621,9,16,1,1,No
1054,22,Female,Operations,Operations Manager,Finance,38668,2,2,4,4,No
1055,28,Male,IT,Data Analyst,Marketing,121392,7,7,3,2,No
1056,58,Male,HR,HR Executive,Life Sciences,133282,0,14,1,1,No
1057,29,Male,Sales,Sales Executive,Technical Degree,99080,7,7,1,3,No
1058,51,Male,HR,HR Manager,Human Resources,45133,3,24,1,3,No
1059,35,Female,Marketing,Marketing Manager,Technical Degree,121189,14,15,3,2,No
1060,24,Male,Marketing,Marketing Executive,Medical,152456,2,3,3,1,No
1061,56,Female,HR,HR Manager,Finance,122619,6,9,2,1,No
1062,22,Male,IT,Developer,Life Sciences,95857,1,1,3,4,No
1063,52,Female,Finance,Finance Manager,Marketing,125837,0,24,4,1,No
1064,55,Female,Marketing,Marketing Manager,Technical Degree,33206,1,20,3,1,No
1065,22,Female,Operations,Operations Executive,Medical,137079,1,2,1,1,No
1066,57,Male,IT,IT Manager,Marketing,93183,18,34,2,4,No
1067,38,Male,Sales,Sales Manager,Medical,167292,2,9,3,3,No
1068,38,Female,Finance,Finance Manager,Technical Degree,28234,8,18,1,3,No
1069,50,Female,HR,HR Manager,Finance,27325,0,14,4,1,No
1070,47,Female,Operations,Operations Executive,Marketing,45852,1,19,3,3,No
1071,37,Male,Finance,Finance Manager,Marketing,84616,15,15,2,2,No
1072,32,Male,Sales,Sales Executive,Life Sciences,140424,10,12,3,1,No
1073,37,Male,Marketing,Marketing Manager,Medical,166673,0,11,1,2,No
1074,53,Female,IT,Developer,Life Sciences,78488,2,17,3,3,No
1075,39,Female,Marketing,Marketing Manager,Human Resources,110600,4,4,3,3,No
1076,31,Male,Finance,Analyst,Technical Degree,101250,5,5,2,1,Yes
1077,34,Male,Operations,Operations Manager,Medical,64341,6,6,4,1,No
1078,55,Female,Operations,Operations Manager,Marketing,148818,3,6,4,3,No
1079,44,Female,Finance,Analyst,Technical Degree,107527,7,21,1,2,No
1080,56,Female,Sales,Sales Manager,Marketing,119973,16,18,4,2,No
1081,55,Female,Operations,Operations Executive,Technical Degree,131854,7,31,2,3,No
1082,47,Female,Sales,Sales Executive,Life Sciences,63901,13,21,4,2,No
1083,47,Female,HR,HR Executive,Life Sciences,148171,8,25,1,2,No
1084,25,Female,Marketing,Marketing Executive,Finance,163755,1,5,4,4,No
1085,39,Female,Operations,Operations Executive,Human Resources,113248,3,13,1,1,Yes
1086,48,Male,IT,IT Manager,Medical,60286,9,24,2,1,Yes
1087,50,Male,Operations,Operations Manager,Marketing,139972,12,22,2,3,No
1088,42,Female,Finance,Finance Manager,Marketing,160706,1,19,4,3,No
1089,34,Male,HR,HR Executive,Life Sciences,97943,6,14,3,1,No
1090,52,Male,Finance,Finance Manager,Marketing,69386,14,21,3,3,No
1091,30,Male,Marketing,Marketing Manager,Medical,169746,1,4,2,1,No
1092,21,Female,Operations,Operations Executive,Finance,121872,1,1,2,3,No
1093,50,Male,IT,Data Analyst,Marketing,56441,9,12,4,4,No
1094,43,Female,Finance,Analyst,Human Resources,44490,2,9,3,2,No
1095,41,Male,Marketing,Marketing Executive,Finance,51329,1,14,3,2,No
1096,36,Male,Marketing,Marketing Executive,Human Resources,123620,4,13,2,2,No
1097,39,Female,HR,HR Manager,Medical,48255,4,10,2,1,No
1098,32,Female,Operations,Operations Executive,Medical,93963,0,6,4,2,No
1099,40,Female,Marketing,Marketing Executive,Technical Degree,152155,7,11,4,4,No
1100,28,Male,Sales,Sales Executive,Marketing,142223,4,7,3,2,No
1101,28,Male,IT,BI Analyst,Life Sciences,58569,5,8,4,4,No
1102,53,Female,Finance,Finance Manager,Human Resources,132218,6,33,1,3,No
1103,48,Female,IT,IT Manager,Finance,39321,12,20,3,4,No
1104,49,Male,Sales,Sales Manager,Medical,175078,13,20,2,2,No
1105,29,Female,Operations,Operations Manager,Technical Degree,30535,9,9,4,1,No
